page	chars	images	drawings	preview
27	374	2	3	27 | Disk Management | • | Raw disk access for apps that want to do  | their own block management, keep OS  | out of the way (databases for example) | • | Boot block initializes system | • | The bootstrap is stored in RO
28	612	1	3	28 | Swap Space Management | • Used for moving entire processes (swapping), or pages (paging), from DRAM  | to secondary storage when DRAM not large enough for all processes | • Operating system provides swap space manag
29	189	0	3	29 | Disk Attachment | • Disks can be attached to the computer as: | • host-attached storage | • hard disk, RAID arrays, CD, DVD, tape… | • network-attached storage | • storage area network
30	674	0	3	30 | Host-Attached Storage | • Disks can be attached to the computers directly via an I/O bus | • e.g., SCSI （Small Computer System Interface）is a bus architecture, up to  | 16 devices on one cable,  | • SCSI initiator r
31	31	1	3	31 | A Typical PC Bus Structure
32	373	1	3	32 | Network-Attached Storage | • NAS is storage made available over a network instead of a local bus | • client can remotely attach to file systems on the server | • NFS, CIFS, and iSCSI are common protocols | • usually
33	507	2	3	33 | Storage Area Network | • SAN is a private network connecting servers and storage units | • SAN consumes high bandwidth on the data network, separation is needed | • TCP/IP stack less efficient for storage access | •
34	31	1	3	34 | Disks are becoming cheaper
35	423	2	3	35 | RAID | • | Disks are unreliable, slow, but cheap | • | Simple idea: let’s use redundancy | • Increases reliability | • If one fails, you have another one  | • Increases speed | • Aggregate disk bandwidth if data is 
36	426	0	3	36 | RAID | • | Data Mirroring | • Keep the same data on multiple disks | • Every write is to each mirror, which takes time | • | Data Striping | • Keep data split across multiple disks to allow parallel reads | • e.g., 
37	270	0	3	37 | RAID Levels | • | Combinations of the techniques are called  “levels” | • More of a marketing tool, really | • | You should know about common RAID levels, i.e.: 0, 1, 1+0, 5, 5+0,  | 6, 6+0 | • The book talks about 
38	387	0	3	38 | RAID 0 | • RAID 0: splits data evenly across two or more disks without parity  | bits （No redundancy） | • Data is striped across multiple disks | • Using a fixed strip size | • Gives the illusion of a larger disk wi
39	87	0	61	39 | RAID 0 Example | • | Fixed strip size | • | 5 files of various sizes | • | 4 disks
40	432	0	3	40 | RAID 1 | • An exact copy (or mirror) of a set of data on two disks | • | Mirroring (also called shadowing) | • | Write every written byte to 2 disks | • Uses twice as many disks as RAID 0 | • | Reliability is ensure
41	64	0	38	41 | RAID 1 Example | • | 5 files of various sizes | • | 4 disks
42	173	1	3	42 | RAID2 | • RAID 2: stripes data at the bit-level; uses Hamming code for error  | correction (not used) | • hamming code (4bit data+3bit parity) allows 7 disks to be used
43	883	0	3	43 | RAID3 | • | Bit-interleaved parity | • | Data is striped across multiple disks, with one dedicated parity disk that stores the  | parity information for all the data disks | • | Each write goes to all disks, with ea
44	372	1	3	44 | RAID 4，5，6 | • RAID 4: Basically, like RAID 3, but  | interleaving it with strips (blocks) | • A (small) read involves only one disk | • RAID 5: Like RAID 4, but parity is spread all  | over the disks as opposed to 
45	536	0	3	45 | RAID and File Systems | • RAID can only detect/recover from disk failures | • It does not prevent or detect data corruption or other errors | • File systems like Solaris ZFS add additional checks to detect errors | 
46	18	1	3	46 | ZFS Checksums
47	35	1	3	47 | Traditional and Pooled Storage
48	116	0	3	48 | Takeaway | • | Disk structure | • | Disk scheduling | • FCFS, SSTF, SCAN, C-SCAN, LOOK, C-LOOK | • RAID | • 0-6
