001: 第四章：神经网络基础（一） | text_len=48 images=1 diagrams=0 tables=0
083: 对于传统机器学习算法，通过经验风险最小化原则转化为优化问题之后，大多可以采用梯度下降法进行求解。其中一个非常关键的因素是那些优化问题通常都是凸优化问题，梯度下降法能够保证收敛到最优解。 | text_len=120 images=1 diagrams=0 tables=0
084: 对于传统机器学习算法，通过经验风险最小化原则转化为优化问题之后，大多可以采用梯度下降法进行求解。其中一个非常关键的因素是那些优化问题通常都是凸优化问题，梯度下降法能够保证收敛到最优解。 | text_len=106 images=1 diagrams=0 tables=0
085: 对于传统机器学习算法，通过经验风险最小化原则转化为优化问题之后，大多可以采用梯度下降法进行求解。其中一个非常关键的因素是那些优化问题通常都是凸优化问题，梯度下降法能够保证收敛到最优解。 | text_len=106 images=1 diagrams=0 tables=0
086: 对于传统机器学习算法，通过经验风险最小化原则转化为优化问题之后，大多可以采用梯度下降法进行求解。其中一个非常关键的因素是那些优化问题通常都是凸优化问题，梯度下降法能够保证收敛到最优解。 | text_len=106 images=0 diagrams=0 tables=0
087: 对于传统机器学习算法，通过经验风险最小化原则转化为优化问题之后，大多可以采用梯度下降法进行求解。其中一个非常关键的因素是那些优化问题通常都是凸优化问题，梯度下降法能够保证收敛到最优解。 | text_len=231 images=0 diagrams=0 tables=0
088: 对于传统机器学习算法，通过经验风险最小化原则转化为优化问题之后，大多可以采用梯度下降法进行求解。其中一个非常关键的因素是那些优化问题通常都是凸优化问题，梯度下降法能够保证收敛到最优解。 | text_len=135 images=0 diagrams=0 tables=0
089: 对于传统机器学习算法，通过经验风险最小化原则转化为优化问题之后，大多可以采用梯度下降法进行求解。其中一个非常关键的因素是那些优化问题通常都是凸优化问题，梯度下降法能够保证收敛到最优解。 | text_len=106 images=0 diagrams=0 tables=0
090: 然而，对于多层感知机以及其它深度学习模型的训练，则几乎不再使用梯度下降法。主要有两个原因：一是这类模型的损失函数不再具备凸性；二是深度学习模型通常对应大规模数据，梯度下降法计算开销难以承受。 | text_len=115 images=0 diagrams=0 tables=0
091: 然而，对于多层感知机以及其它深度学习模型的训练，则几乎不再使用梯度下降法。主要有两个原因：一是这类模型的损失函数不再具备凸性；二是深度学习模型通常对应大规模数据，梯度下降法计算开销难以承受。 | text_len=114 images=0 diagrams=0 tables=0
092: 然而，对于多层感知机以及其它深度学习模型的训练，则几乎不再使用梯度下降法。主要有两个原因：一是这类模型的损失函数不再具备凸性；二是深度学习模型通常对应大规模数据，梯度下降法计算开销难以承受。 | text_len=109 images=0 diagrams=0 tables=0
093: 然而，对于多层感知机以及其它深度学习模型的训练，则几乎不再使用梯度下降法。主要有两个原因：一是这类模型的损失函数不再具备凸性；二是深度学习模型通常对应大规模数据，梯度下降法计算开销难以承受。 | text_len=152 images=0 diagrams=0 tables=0
094: 多层感知机：仿真实验 | text_len=136 images=8 diagrams=0 tables=0
095: 多层感知机：仿真实验 | text_len=125 images=8 diagrams=0 tables=0
096: 多层感知机：仿真实验 | text_len=130 images=6 diagrams=0 tables=0
097: 架构设计 | text_len=177 images=1 diagrams=0 tables=0
098: 卷积层示意图 | text_len=177 images=1 diagrams=0 tables=1
099: 池化层示意图 | text_len=111 images=1 diagrams=0 tables=0
100: 展平层示意图 | text_len=156 images=1 diagrams=0 tables=1
101: 总结 | text_len=69 images=3 diagrams=0 tables=0
